index	hemi	name	color
65793	L	FreeSurfer_Defined_Medial_Wall	#010101ff
8786552	L	17Networks_1	#781286ff
255	L	17Networks_2	#ff0000ff
11829830	L	17Networks_3	#4682b4ff
10800170	L	17Networks_4	#2acca4ff
3971914	L	17Networks_5	#4a9b3cff
947712	L	17Networks_6	#00760eff
16399044	L	17Networks_7	#c43afaff
13998335	L	17Networks_8	#ff98d5ff
10811612	L	17Networks_9	#dcf8a4ff
3311482	L	17Networks_10	#7a8732ff
11570295	L	17Networks_11	#778cb0ff
2266342	L	17Networks_12	#e69422ff
4862599	L	17Networks_13	#87324aff
16723980	L	17Networks_14	#0c30ffff
8519680	L	17Networks_15	#000082ff
65535	L	17Networks_16	#ffff00ff
5127885	L	17Networks_17	#cd3e4eff
65793	R	FreeSurfer_Defined_Medial_Wall	#010101ff
8786552	R	17Networks_1	#781286ff
255	R	17Networks_2	#ff0000ff
11829830	R	17Networks_3	#4682b4ff
10800170	R	17Networks_4	#2acca4ff
3971914	R	17Networks_5	#4a9b3cff
947712	R	17Networks_6	#00760eff
16399044	R	17Networks_7	#c43afaff
13998335	R	17Networks_8	#ff98d5ff
10811612	R	17Networks_9	#dcf8a4ff
3311482	R	17Networks_10	#7a8732ff
11570295	R	17Networks_11	#778cb0ff
2266342	R	17Networks_12	#e69422ff
4862599	R	17Networks_13	#87324aff
16723980	R	17Networks_14	#0c30ffff
8519680	R	17Networks_15	#000082ff
65535	R	17Networks_16	#ffff00ff
5127885	R	17Networks_17	#cd3e4eff
